Player,Team,ACS,KD_ratio,ADR,HS%,event,Region
aspas,MIBR,261.6,1.66,164.7,26.0,Valorant Champions 2025,Champions
RieNs,TH,226.1,1.14,148.9,34.0,Valorant Champions 2025,Champions
brawk,NRG,224.6,1.17,144.7,17.0,Valorant Champions 2025,Champions
kaajak,FNC,228.4,1.2,148.2,32.0,Valorant Champions 2025,Champions
johnqt,SEN,187.0,1.13,118.7,33.0,Valorant Champions 2025,Champions
Smoggy,EDG,206.0,1.09,135.3,25.0,Valorant Champions 2025,Champions
leaf,G2,222.8,1.13,151.5,21.0,Valorant Champions 2025,Champions
something,PRX,220.4,1.17,141.0,25.0,Valorant Champions 2025,Champions
Knight,BLG,196.8,0.97,135.4,26.0,Valorant Champions 2025,Champions
skuba,NRG,190.1,1.17,124.9,30.0,Valorant Champions 2025,Champions
SpiritZ1,DRG,237.0,1.03,155.7,30.0,Valorant Champions 2025,Champions
NoMan,XLG,221.4,1.18,140.7,32.0,Valorant Champions 2025,Champions
cortezia,MIBR,196.4,1.27,130.2,33.0,Valorant Champions 2025,Champions
Cloud,GX,202.5,1.02,135.2,29.0,Valorant Champions 2025,Champions
Chronicle,FNC,204.2,1.07,138.7,29.0,Valorant Champions 2025,Champions
Alfajer,FNC,211.7,1.14,141.3,34.0,Valorant Champions 2025,Champions
jawgemo,G2,230.4,1.09,141.7,28.0,Valorant Champions 2025,Champions
Jinggg,PRX,224.3,1.1,146.0,22.0,Valorant Champions 2025,Champions
Verno,MIBR,199.3,1.15,129.3,25.0,Valorant Champions 2025,Champions
ZmjjKK,EDG,237.4,1.08,143.5,24.0,Valorant Champions 2025,Champions
iZu,T1,212.2,1.09,124.8,26.0,Valorant Champions 2025,Champions
Meteor,T1,219.0,0.96,144.2,36.0,Valorant Champions 2025,Champions
Flashback,DRX,223.2,1.12,144.3,24.0,Valorant Champions 2025,Champions
valyn,G2,192.3,0.97,124.1,26.0,Valorant Champions 2025,Champions
f0rsakeN,PRX,213.1,1.04,135.5,31.0,Valorant Champions 2025,Champions
