Team,ACS,KD_ratio,ADR,HS%
100T,195.63,1.0,128.09,27.33
2G,182.96,0.85,121.69,31.0
AG,174.16,0.83,129.84,28.4
APK,183.29,0.86,122.06,29.25
BBL,198.91,1.01,130.5,28.27
BLG,189.74,0.96,124.0,25.07
BME,193.26,0.96,125.59,24.2
C9,195.15,0.97,127.29,26.47
DFM,187.48,0.91,123.5,29.53
DRG,196.87,0.98,130.46,31.1
DRX,196.11,1.03,128.73,28.04
EDG,199.44,1.02,128.14,28.06
EG,192.15,0.93,127.51,29.33
FNC,198.52,1.06,132.12,29.88
FPX,198.25,1.02,128.42,30.8
FUR,184.2,0.89,121.73,28.3
FUT,194.73,0.94,127.21,28.73
G2,204.44,1.09,132.64,24.23
GE,187.23,0.89,123.88,26.44
GEN,198.83,1.08,129.2,29.14
GX,188.87,0.93,125.03,31.09
JDG,193.73,0.95,123.02,32.2
KC,194.72,1.02,127.88,34.44
KRÜ,196.15,1.02,128.79,25.13
LEV,195.15,0.99,129.58,30.0
LOUD,191.09,0.96,126.46,30.56
M8,188.44,0.95,125.15,32.6
MIBR,188.51,0.99,124.72,27.6
MKOI,184.11,0.88,122.77,28.0
NAVI,193.08,0.99,128.01,29.47
NOVA,195.51,0.96,122.07,25.67
NRG,199.82,1.03,130.35,23.95
NS,196.31,1.02,127.01,26.2
PRX,202.84,1.06,133.75,27.23
RRQ,191.52,0.98,125.8,30.36
SEN,194.4,1.0,126.55,26.2
T1,194.88,0.97,127.71,28.56
TE,187.77,0.9,116.21,27.0
TEC,189.44,0.93,125.68,31.2
TH,192.31,0.96,126.31,33.68
TL,196.89,1.01,129.77,29.39
TLN,191.49,0.99,125.07,31.93
TS,184.07,0.87,123.29,28.44
TYL,195.71,0.96,132.66,29.8
VIT,198.16,1.0,128.7,27.57
WOL,185.85,0.89,122.18,27.4
XLG,191.16,0.95,124.59,33.0
ZETA,188.31,0.88,122.97,30.88
